district,mae,smape,r2
Darbhanga,0.0955019,81.67538046836853,0.06740442920778145
Kollam,0.09504116,53.69995832443237,-1.1002927847794286
Sivaganga,0.09495347,59.53835844993591,-0.8332481091275146
Pilibhit,0.094013765,84.53972935676575,-0.051746465213758475
Rajkot,0.09385143,56.69761300086975,-0.9587188778693629
Samastipur,0.09384482,77.68315076828003,-0.16196300707023137
Nandurbar,0.093648836,53.59258055686951,-1.0239491969203498
Namakkal,0.09324566,58.91258716583252,-0.5668471925098761
Wardha,0.09282239,54.58947420120239,-0.9515893263094108
Mirzapur,0.09279931,67.21470355987549,-0.5792542482969605
Bhilwara,0.09275203,81.78038001060486,-0.3572661572290561
Mainpuri,0.09258299,54.92287278175354,-0.3722857458667421
Bharatpur,0.09224963,75.09926557540894,-0.37423668878576777
Washim,0.09178213,47.94992804527283,-2.1736123819842224
Thrissur,0.091324344,53.091323375701904,-2.9678436130522323
Barpeta,0.09026645,39.258697628974915,-0.3670174318491555
Alappuzha,0.08954755,59.58925485610962,-0.3756987307925823
Ratnagiri,0.089415684,53.955841064453125,-0.45741532370238547
Karbi Anglong,0.08910739,33.2369863986969,-0.23127156745028765
Akola,0.08893235,50.69736838340759,-1.2561758289241594
Kachchh,0.0885479,53.42172384262085,-0.9185850552149295
Bastar,0.088472016,58.246952295303345,-0.23837166518989972
Korba,0.08799916,50.763487815856934,-0.5398110232795812
Hisar,0.087828234,50.17862915992737,-0.7176319274732497
Pashchimi Singhbhum,0.08749226,85.5167031288147,0.051016804974604035
Latur,0.08723636,52.305448055267334,-1.3274237892534462
Pashchim Medinipur,0.08699703,70.6975519657135,-0.2985907316253422
Jalor,0.08675419,53.47803831100464,-0.8647340888627115
Jabalpur,0.08661117,58.82694721221924,-0.36506759429263
Cachar,0.086428575,52.12002992630005,-0.30088252814892247
Punch,0.08633366,36.34931743144989,-0.2916198760305262
Kamrup,0.085994154,44.93870437145233,-1.2215362959202714
Rae Bareli,0.085087225,71.45490646362305,-0.11672139506051038
Pulwama,0.084113866,33.844929933547974,-0.2313443975040339
Khagaria,0.08382535,61.182814836502075,-0.12133586777435323
Cuttack,0.08331687,54.29058074951172,-0.47599972983344063
Ajmer,0.083300345,71.80410623550415,-0.17309185463263455
Ghazipur,0.08319111,69.13516521453857,-0.20549641370456717
Pali,0.082703546,60.214537382125854,-0.46200229003233817
Katni,0.08098519,70.63660025596619,0.22028074849428114
Hamirpur,0.08089476,46.47108316421509,-0.7137657867069818
East Khasi Hills,0.08027029,26.154285669326782,-24.479445917503735
Etah,0.08015581,47.86296188831329,-0.22894611073221638
Sant Kabir Nagar,0.079316154,47.259899973869324,-0.4835660912916917
Sikar,0.07847874,60.58111786842346,-0.15337904268557967
Aurangabad,0.07805392,44.534775614738464,-1.1527614953360872
Sonbhadra,0.07729448,47.63465225696564,-0.45658904484840934
Palwal,0.07729418,40.255552530288696,-0.9181090609046985
Baleshwar,0.07720976,62.072765827178955,-0.09947274831062969
Jind,0.07707728,39.92323577404022,-0.9619117353149234
Siwan,0.07616464,48.121219873428345,-0.3281410183442677
Thiruvarur,0.076069236,41.448891162872314,-0.6874573132563897
Jamui,0.07593688,54.37927842140198,0.21817904988416614
Raichur,0.07579072,45.38092911243439,-0.24871408460753863
Chandauli,0.07519566,46.75457775592804,-0.34906001157592437
Kannauj,0.07484748,45.604339241981506,-0.644910819375923
Lalitpur,0.07453416,40.45460820198059,-0.7135225565366763
Etawah,0.07440437,40.34280776977539,-0.6033338635729866
Khordha,0.074332066,52.70119309425354,-0.29879521128815156
Kaushambi,0.07352649,47.2456157207489,-0.2885027915325489
Rewa,0.07231266,47.222378849983215,-0.1294398850051397
Almora,0.07221471,33.01939368247986,-1.5012155358677486
Bhiwani,0.0722037,36.465004086494446,-0.9746696454954291
Gautam Buddha Nagar,0.07202582,49.87197518348694,-0.056891655636706506
Vidisha,0.07110053,44.05022859573364,-0.38884267475219625
Mandi,0.071006164,36.329761147499084,-0.4586694231677775
Auraiya,0.07098377,37.14396059513092,-0.5211466195717933
Betul,0.07095771,56.266987323760986,0.039692597035712596
Jashpur,0.070598334,47.02758491039276,-0.12484665168797227
Satna,0.07023232,52.87008285522461,0.09294727997944163
Panch Mahals,0.070172116,37.85868287086487,-0.49347610726425395
Banda,0.070021965,43.293339014053345,-0.11837059100594871
Kottayam,0.0694388,32.34275281429291,-1.0612110747246657
Kolkata,0.06928147,36.6242915391922,-3.013060173464825
Junagadh,0.069204755,33.417800068855286,-0.7430056297162702
Ranchi,0.069203585,51.49734616279602,-0.17586312558859207
Birbhum,0.069107406,38.309672474861145,-1.7088889535135912
Madhepura,0.06908286,57.374340295791626,0.19963822197458725
Rohtas,0.06869013,40.708792209625244,-0.3382905106454044
Imphal East,0.06851313,42.3994243144989,-2.790987964393439
Nadia,0.06839716,43.35960149765015,-3.1913493501315484
Bhagalpur,0.06836838,51.613038778305054,0.0002809379318823302
Chamrajnagar,0.06816061,33.66977870464325,-0.8155794633426667
Araria,0.06794203,53.75281572341919,0.2956682024138968
Anand,0.06776137,33.47916305065155,-1.0435125547359276
Theni,0.06758155,37.97895312309265,-0.7027222962557695
Puruliya,0.06748594,39.763143658638,-1.7310981100755294
Puri,0.06742853,35.793110728263855,-0.5219045451119184
Bathinda,0.06728214,36.62710785865784,-0.47241537948150736
Ganganagar,0.06727276,42.41624474525452,-0.3177514069346916
Palamu,0.06712918,53.74947190284729,0.09708916195434725
Morena,0.06697391,43.139129877090454,-0.06605581539984584
Darrang,0.066969864,24.424447119235992,-3.294973217460628
Banswara,0.0669612,41.136786341667175,-0.23276147729741958
Koriya,0.06692725,38.45548629760742,-0.24878643860737681
Tumkur,0.06632007,35.40717959403992,-0.40457551185351814
Hanumangarh,0.06605436,34.114888310432434,-0.683369636932349
Kanniyakumari,0.066031426,33.80744755268097,-0.7125289093220739
Karimganj,0.066029936,44.01824772357941,-0.060073709763599936
Dakshina Kannada,0.06595162,32.0071667432785,-1.0067956025413216
Karnal,0.06589433,31.943780183792114,-0.6688595793742929
Jamnagar,0.065715514,28.835496306419373,-1.5652615182776661
Jalaun,0.06565792,33.56342613697052,-0.6483984993006708
Imphal West,0.06562789,41.21919274330139,-1.8052683576179471
West,0.06549626,48.4857052564621,0.02933853901556882
Jagatsinghapur,0.06540825,33.78763794898987,-0.8153724721292457
Balangir,0.065304,34.959423542022705,-0.35659750576725746
Amritsar,0.06482645,34.21873450279236,-0.14799163283892924
Pithoragarh,0.06464806,28.209388256072998,-1.4005945954344314
Uttarkashi,0.06433614,28.947970271110535,-1.5488243820603182
Dhanbad,0.06396151,45.20924985408783,-0.4656414200608192
Mahoba,0.06389746,29.390591382980347,-1.229502911449821
Kendrapara,0.06363661,32.60343372821808,-0.43560112347282076
Kasaragod,0.06347059,29.072415828704834,-0.9742134342131537
Nagappattinam,0.063466184,30.221933126449585,-0.9361656728951808
Rudraprayag,0.06344718,30.58563470840454,-0.8970440289030048
Patiala,0.06341473,32.97049105167389,-0.397299672530284
Yamunanagar,0.0632282,32.64775574207306,-0.4200450754625866
Kannur,0.06312036,37.22079396247864,-0.20296306091315786
Thoubal,0.062982544,37.92753219604492,-1.15184698108733
Dausa,0.06201541,39.87686038017273,-0.5685542856460053
Dhubri,0.06199451,34.86471176147461,-0.23667764790890922
West Tripura,0.061703004,31.868961453437805,-0.6421030116975426
Kanpur Dehat,0.06159633,34.849125146865845,-0.3689849994453236
Jalpaiguri,0.061592266,30.305010080337524,-2.178737432963404
Baran,0.0613,36.393529176712036,-0.036527741300917516
Supaul,0.06075634,45.540520548820496,0.23628957105396087
North Tripura,0.060464107,30.75801134109497,-0.6049332598057007
Gopalganj,0.060206685,31.540295481681824,-0.22527335465804654
Jhunjhunun,0.06008946,40.218693017959595,0.06860800687574053
Kupwara,0.060062047,30.090653896331787,-0.5016237640090715
Sundargarh,0.059890296,29.346096515655518,-0.4897607363069971
Sirohi,0.05983024,27.562636137008667,-1.283196161604438
Bhojpur,0.059626665,37.00481057167053,-0.5504726365632806
Jaintia Hills,0.05886137,18.770228326320648,-59.90447714286137
Mahendragarh,0.058789406,26.900121569633484,-1.131953220512333
Nawada,0.058731437,35.59247553348541,-2.464346030176012
Chhindwara,0.05867729,39.68977928161621,0.10697174958692035
Sonipat,0.058617793,27.58951187133789,-0.853624227647241
Kendujhar,0.058297135,28.720635175704956,-0.49912135322560514
Baghpat,0.058289655,29.406556487083435,-0.39353394213451875
Maldah,0.05820322,30.082669854164124,-1.4537179456569493
Purba Medinipur,0.058164835,42.04135537147522,-0.46801696039696594
Giridih,0.057211723,31.486937403678894,-0.4335762736015556
Sirsa,0.05698479,26.15874707698822,-0.71986297128468
Kaithal,0.0569616,26.392322778701782,-0.847908449862675
Dungarpur,0.056787007,37.790197134017944,-0.058202925987191456
Garhchiroli,0.056665815,32.82148241996765,-0.21153220705787046
Kathua,0.056523386,25.777900218963623,-0.971959526015266
Surendranagar,0.05623869,24.554763734340668,-1.1561204612299436
Ariyalur,0.055944644,26.658037304878235,-1.0604580930070755
Hoshiarpur,0.05569138,24.38308298587799,-1.0108646903003953
Sangrur,0.05555195,24.96252954006195,-1.0496642536652185
Chitrakoot,0.05539895,28.92651855945587,-0.26486426166517396
Dharwad,0.055340555,26.097509264945984,-0.5640212442152432
Ramanathapuram,0.055175796,27.778303623199463,-0.5024017706653392
Chamoli,0.054909203,23.457060754299164,-1.08643862031581
Tinsukia,0.054488376,27.429622411727905,-11.923622591475706
Anugul,0.05443388,25.197741389274597,-0.7900836421679349
Ganderbal,0.054380223,24.868330359458923,-0.7213847261251778
Dhenkanal,0.05437867,26.386696100234985,-0.375898967763141
Mandya,0.05421367,24.545028805732727,-0.8046292290381647
Gondiya,0.05420873,25.948408246040344,-0.3779155094247324
Bankura,0.05388174,31.597736477851868,-2.4536805426225294
South Garo Hills,0.053757586,17.790481448173523,-49.326404117976594
Bharuch,0.053698666,26.862865686416626,-0.2393573404931435
Bidar,0.053434756,29.58405613899231,-0.018616386017606068
Panipat,0.053337935,24.057739973068237,-0.7567606882585938
Chhatarpur,0.0533246,34.24663245677948,0.05994254896705942
Bargarh,0.053244133,26.135551929473877,-0.2966501326153803
Sonitpur,0.053141292,20.29782086610794,-5.1428250177045856
Mahesana,0.053090453,24.151521921157837,-0.7446566212819767
Jajapur,0.05281398,26.559007167816162,-0.4927209618128363
Chamba,0.052482072,27.496907114982605,-0.33433393568586145
Bhandara,0.052264433,24.089153110980988,-0.6745605118105347
Champawat,0.052166983,21.87747210264206,-1.413751399307836
Kapurthala,0.05189492,20.19607275724411,-1.9691825358879895
Shimla,0.05142884,26.23245418071747,-0.44131590000802623
Sehore,0.05142673,28.680533170700073,0.04374512251502982
Sindhudurg,0.050950166,21.51183784008026,-1.439932624145643
Jhajjar,0.050728627,22.278080880641937,-1.0323179085769985
Patan,0.049695704,20.70637047290802,-0.8817589738307341
Godda,0.049564473,28.013703227043152,-0.01723569962580096
Shrawasti,0.049147386,24.128365516662598,-0.39486367683111223
Karur,0.04904777,22.46892601251602,-0.5805394052434727
Sant Ravi Das Nagar(Bhadohi),0.04884664,25.41860044002533,-0.23277557517535064
Golaghat,0.048802283,22.13733345270157,-0.36403510235745573
Una,0.04857381,25.451529026031494,-0.44235265074676655
Dibrugarh,0.048475422,18.529875576496124,-1.6658443141879213
Doda,0.04817358,22.95510768890381,-0.46875194745895055
Mau,0.048089977,25.51775574684143,-0.21060341879571887
Valsad,0.048042834,22.23118096590042,-0.4829085486925384
Dewas,0.047956444,25.050923228263855,-0.21451695024270712
Rewari,0.04748073,20.586615800857544,-0.848902178629759
Bhind,0.047392614,28.11627686023712,0.1192994239168298
Bokaro,0.04700967,23.5615074634552,-0.20668692334733185
Navsari,0.046050422,19.14302557706833,-1.0368170477260517
Bongaigaon,0.045800593,23.504120111465454,-0.47851045580387375
Singrauli,0.045421667,20.140768587589264,-0.6386155341572994
Bundi,0.045279004,20.444941520690918,-0.4703812299374921
Kota,0.04487103,23.136822879314423,-0.19993897593763132
West Khasi Hills,0.04481786,14.61624801158905,-37.8573169358191
Sawai Madhopur,0.044777136,22.161296010017395,-0.4146039938486352
North Goa,0.044763327,19.004808366298676,-0.8983780470895031
Goalpara,0.044340603,19.72743421792984,-0.24699652263588812
Hassan,0.044106185,18.762315809726715,-0.8060275369583414
Rohtak,0.043912377,19.059520959854126,-0.7660544994105176
Kolar,0.043776214,19.944781064987183,-0.4735522779354746
Tonk,0.0437561,21.575894951820374,0.02298615702409168
Puducherry,0.04351041,18.41820776462555,-0.8789932162932974
Shivpuri,0.04349728,21.816548705101013,-0.16129920081457993
Gandhinagar,0.043363612,18.167294561862946,-1.535757406768386
Chitradurga,0.04335107,19.735640287399292,-0.11942537029640188
Udhampur,0.043225177,18.43532621860504,-0.8116162930559259
Jhalawar,0.043047376,22.91439324617386,-0.28283134861023873
Chirang,0.042848375,22.6625457406044,-0.2221367809713959
Jaisalmer,0.042757906,17.851123213768005,-1.101699784702522
Uttara Kannada,0.042632673,17.857059836387634,-0.7219013961026735
Karauli,0.041806832,22.238127887248993,-0.029400342485657927
Amreli,0.04170812,17.640849947929382,-0.8115209021284024
Lakhimpur,0.04153937,16.16266369819641,-1.4182382981360755
Narmada,0.041423414,20.11353224515915,-0.20104390301234631
Rajsamand,0.04138159,18.86998862028122,-0.33377942669740457
Sahibganj,0.041376647,18.36627870798111,-0.19371434588396674
Saharsa,0.041223075,20.840846002101898,0.22724809267755797
Fatehabad,0.04121018,17.98466145992279,-0.7310161894232252
Dhemaji,0.041032724,15.232406556606293,-1.772225677070495
Sabar Kantha,0.04082952,16.798235476017,-0.8510234025538435
Shahdol,0.04034759,17.999225854873657,-0.11727901973785948
