district,mae,rmse
Balangir,159.05975341796875,203.81059298402525
Munger,159.22531127929688,179.70506435893788
Bargarh,159.2984619140625,192.52329404516223
Rajsamand,159.7275848388672,185.09907608832088
Kasaragod,159.7845916748047,185.15614187760556
Fatehabad,159.92909240722656,179.08739464818566
Mandya,160.12612915039062,179.6051115468321
Durg,160.72335815429688,187.59955690246179
Mahasamund,160.8417510986328,181.38003955783006
Bijapur,162.49606323242188,204.16960244487913
Sangli,162.5391387939453,184.2451449496024
Kodarma,165.24386596679688,185.37738113777527
Korba,165.75927734375,189.03093744808018
Kendujhar,166.75436401367188,206.40381575021814
Kaithal,166.75454711914062,187.18185509017695
Ri Bhoi,168.514404296875,201.2740474763202
Dharwad,168.54226684570312,189.77641038205988
Kollam,168.7021484375,207.35663345429776
Bharuch,169.62657165527344,209.69933833944256
Kathua,170.1336669921875,213.14542607396012
Erode,170.41094970703125,202.81962622303098
Jalaun,170.49566650390625,202.80672179750354
Cuttack,170.5869140625,220.48720909612874
Baran,171.4126739501953,201.42977219120314
Davanagere,171.63009643554688,236.49362438552123
Amreli,172.39572143554688,222.88572604588208
Bidar,173.94639587402344,200.33831736901956
Khammam,173.96817016601562,198.79614244245283
Tiruppur,176.01473999023438,221.22905974351562
Dindigul,176.84027099609375,210.58262741439523
Lakhisarai,177.032958984375,203.93311365187853
Bhiwani,177.56207275390625,210.98163427180103
Hamirpur,177.71348571777344,209.46726511856215
Kangra,177.8603515625,203.82910657582738
Datia,178.40170288085938,209.9657059051549
Yavatmal,178.8632049560547,253.07497962560424
Ambala,178.9788818359375,204.7049801696334
Rohtas,179.96875,226.6230781082324
Chitrakoot,180.8646240234375,218.314110357645
Goalpara,181.0119171142578,212.35491370580527
Jalna,181.62384033203125,222.86949656693713
Jamnagar,182.9834442138672,231.2362158053967
Latur,185.7782440185547,207.23329056584996
Sonbhadra,186.9669189453125,210.77090643634855
Sirsa,187.11749267578125,204.66527551101578
Satara,187.41378784179688,246.63574640803793
Yamunanagar,188.22848510742188,213.21704390714171
Kanpur Dehat,188.50363159179688,220.72533129434873
Dakshina Kannada,189.17918395996094,236.45617656872489
Sheopur,189.26889038085938,230.08174498425555
Jind,189.27066040039062,215.1332163596547
Dharmapuri,190.22479248046875,215.7155335302722
Amritsar,190.57955932617188,240.5776252065017
Sawai Madhopur,190.9647674560547,213.0795956033801
Panipat,191.01870727539062,219.29325400020858
Patan,191.33889770507812,212.80725948026304
Anuppur,191.87962341308594,222.81196528687593
Dungarpur,192.2755889892578,236.36212616978213
Coimbatore,192.34396362304688,232.1549859468885
Doda,192.80813598632812,226.08831411917336
Karnal,193.33303833007812,234.678287102791
Ernakulam,193.90570068359375,230.57811176475533
Banda,194.83724975585938,230.65191238639233
Parbhani,195.09933471679688,212.23014114988473
Nandurbar,195.98208618164062,221.6065629668941
Amravati,196.39869689941406,238.27257566178278
Dausa,196.79412841796875,231.4779282134692
Mayurbhanj,197.1580352783203,244.40597629763477
Karimnagar,197.436279296875,239.26872640924054
Tinsukia,198.2086181640625,230.8938811987013
Kannauj,198.55157470703125,230.20228027487042
Kolar,199.94790649414062,227.92872549604186
Thiruvananthapuram,200.67694091796875,239.30952107051655
Gumla,201.38442993164062,232.82983995828369
Sant Kabir Nagar,201.66775512695312,244.11533519015146
West Godavari,202.1812744140625,245.18288773383023
Etawah,202.24374389648438,237.2386637834356
Jamtara,202.9195098876953,224.16537910101104
Baghpat,203.00692749023438,220.70405807324886
Dhule,203.44625854492188,243.2933543070998
Chennai,203.55252075195312,254.02475888188536
Kaushambi,203.7359619140625,243.98342188814797
Buxar,208.2737274169922,254.3345023045438
Thanjavur,209.11233520507812,251.64857999301327
Umaria,209.43902587890625,264.7835053161356
Lalitpur,210.4550323486328,242.31020278766638
Janjgir-Champa,210.5919189453125,232.0776321487058
Dumka,212.43109130859375,245.8747616928179
Jhalawar,212.51858520507812,247.47777678005755
Gandhinagar,213.781005859375,243.64871293011174
