district,mae,rmse
Papum Pare,1749.33642578125,1756.2942521115303
Bikaner,1755.2330322265625,2034.6118180134508
Purba Medinipur,1761.361083984375,2051.6640806915734
Upper Siang,1771.550537109375,1775.5134468654412
Ri Bhoi,1772.929443359375,1791.5602138917911
Kanpur Nagar,1780.815185546875,2126.9626230848535
Jorhat,1781.18408203125,1794.3688305362418
Churu,1781.439208984375,1994.755749459066
Krishnagiri,1781.7264404296875,2221.2154330456106
Jalandhar,1787.5362548828125,2354.1949791807815
Palakkad,1787.941650390625,2186.8398432441277
Ernakulam,1790.298583984375,2288.9855831787145
Anjaw,1793.3914794921875,1823.7407984689053
Medak,1801.0087890625,1972.6515150933274
Kolasib,1801.353515625,1807.344599128788
Tirap,1804.14697265625,1808.8692600627608
Chandel,1819.89697265625,1829.0960882359352
Wardha,1822.50732421875,2001.3544788467634
East Kameng,1824.9708251953125,1832.2774080362394
Kinnaur,1833.853271484375,1839.98627712274
Kargil,1843.3065185546875,1850.2040428017663
Rajkot,1844.744873046875,1941.8646966253855
Saiha,1848.141357421875,1871.1693536395896
Satna,1849.714111328125,2150.8542488974003
Kiphire,1850.373046875,1854.2578030036707
Vizianagaram,1854.117919921875,2183.660001007483
Nainital,1912.8240966796875,2466.2070067210498
Ratnagiri,1915.462646484375,2210.472460810132
Sikar,1921.4510498046875,2102.6954130353733
Ludhiana,1923.06982421875,2302.3316442250452
Pratapgarh,1931.20654296875,2217.3529263515993
Hingoli,1933.67529296875,2344.921747095199
Imphal West,1940.073486328125,2373.917648108291
Dibang Valley,1953.2568359375,1995.5144700051665
Gorakhpur,1959.603759765625,2362.492751311631
Karimnagar,1970.4580078125,2159.247554126205
Nandurbar,1970.7716064453125,2273.7342632770437
Nizamabad,1971.33984375,2176.7275897548593
Kushinagar,1987.09619140625,2514.033213782189
Erode,1988.64794921875,2311.705214771122
Gaya,1992.720703125,2337.0922104187503
Ujjain,1993.204345703125,2380.8666489326947
Dharmapuri,2029.1363525390625,2163.229530123884
Prakasam,2100.80615234375,2450.5240255912613
Nalgonda,2112.9287109375,2364.868072430257
Chhindwara,2135.62841796875,2629.1101156094624
